Respuesta,"Enviado el:",Institución,Departamento,Asignatura,Grupo,ID,"Nombre completo","Documento de identidad",Completado,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13->Instagram,Q13->Tiktok,Q13->Facebook,Q13->BeReal,Q13->X,Q13->Bluesky,Q13->Threads,Q13->Otra,Q13->Ninguna,Q14,Q15,Q16
33731,"18/02/2025 10:09:04",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima1,,y,27,65,163,"2 : Femenino",3,12,,1,6,10,9,1,1,0,0,0,0,0,0,0,0,30,"1 : Empresa","5 : Mucho"
33759,"19/02/2025 14:15:18",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima2,,y,25,65.00,163.00,"2 : Femenino",1,2,6.5,1,6.,5.00,6.00,130.00,0,1,0,0,0,0,0,0,0,0.00,"3 : Profesor (Instituto, primaria, etc.)","2 : Indiferente"
33760,"19/02/2025 14:14:22",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima3,,y,24,49,157,"2 : Femenino",1,5,,1,6,7,4,100,0,1,0,0,0,0,0,0,0,45,"3 : Profesor (Instituto, primaria, etc.)","3 : Poco"
33747,"18/02/2025 21:55:41",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima4,,y,22,70,184,"1 : Masculino",2,7,8.25,1,8,8,7,200,0,0,0,0,1,0,0,0,0,60,"1 : Empresa","4 : Moderado"
33740,"18/02/2025 15:01:55",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima5,,y,22,60,180,"1 : Masculino",4,10,6,1,5,6,7,235,0,0,0,0,1,0,0,0,0,50,"3 : Profesor (Instituto, primaria, etc.)","4 : Moderado"
33681,"17/02/2025 09:23:02",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima6,,y,22,70.00,172.00,"1 : Masculino",3,20,64,1,65.00,50.00,5.00,240.00,0,0,0,0,0,0,0,0,1,0.00,,"4 : Moderado"
33738,"18/02/2025 12:51:35",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima7,,y,22,110,198,"1 : Masculino",1,19,670,,,8,6,80,0,0,0,0,1,0,0,0,0,5,"1 : Empresa","3 : Poco"
33727,"18/02/2025 09:17:05",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima8,,y,22,54,175,"1 : Masculino",1,1.5,6.6,1,76,10,7,200,1,0,0,0,0,0,0,0,0,55,"1 : Empresa","4 : Moderado"
33737,"18/02/2025 12:32:09",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima9,,y,22,74,186,"1 : Masculino",2,1.1,7.65,1,9,10,5,250,1,0,0,0,0,0,0,0,0,30,"1 : Empresa","5 : Mucho"
33732,"18/02/2025 10:40:37",,,"Inferencia Estadística (2024-25,  Todos los grupos)",,,Anónima10,,y,22,65,187,"1 : Masculino",1,1.6,6.6,1,7,8,8,540,0,0,0,0,0,0,0,1,1,120,"1 : Empresa","4 : Moderado"
