"Edad" "Peso" "Altura" "Sexo" "Hermanos" "Distancia" "NotaMediaGrado" "Probabilidad" "NotaProbabilidad" "NotaEsperadaIE" "SatisfaccionGrado" "TiempoMovil" "Instragram" "Tiktok" "Facebook" "BeReal" "X" "Bluesky" "Threads" "Otra" "Ninguna" "TiempoRedSocialFavorita" "FuturoLaboral" "InteresInferencia" "RedSocialFavorita"
"1" 27 65 163 "2 : Femenino" 3 12 NA 1 6 10 9 1 1 0 0 0 0 0 0 0 0 30 "1 : Empresa" "Mucho" "Instagram"
"2" 25 65 163 "2 : Femenino" 1 2 6.5 1 6 5 6 130 0 1 0 0 0 0 0 0 0 0 "3 : Profesor (Instituto, primaria, etc.)" "Indiferente" "Tiktok"
"3" 24 49 157 "2 : Femenino" 1 5 NA 1 6 7 4 100 0 1 0 0 0 0 0 0 0 45 "3 : Profesor (Instituto, primaria, etc.)" "Poco" "Tiktok"
"4" 22 70 184 "1 : Masculino" 2 7 8.25 1 8 8 7 200 0 0 0 0 1 0 0 0 0 60 "1 : Empresa" "Moderado" "X"
"5" 22 60 180 "1 : Masculino" 4 10 6 1 5 6 7 235 0 0 0 0 1 0 0 0 0 50 "3 : Profesor (Instituto, primaria, etc.)" "Moderado" "X"
"6" 22 70 172 "1 : Masculino" 3 20 64 1 65 50 5 240 0 0 0 0 0 0 0 0 1 0 "" "Moderado" "Ninguna"
"7" 22 110 198 "1 : Masculino" 1 19 670 NA NA 8 6 80 0 0 0 0 1 0 0 0 0 5 "1 : Empresa" "Poco" "X"
"8" 22 54 175 "1 : Masculino" 1 1.5 6.6 1 76 10 7 200 1 0 0 0 0 0 0 0 0 55 "1 : Empresa" "Moderado" "Instagram"
"9" 22 74 186 "1 : Masculino" 2 1.1 7.65 1 9 10 5 250 1 0 0 0 0 0 0 0 0 30 "1 : Empresa" "Mucho" "Instagram"
"10" 22 65 187 "1 : Masculino" 1 1.6 6.6 1 7 8 8 540 0 0 0 0 0 0 0 1 1 120 "1 : Empresa" "Moderado" "Otra"
"11" 21 70 176 "1 : Masculino" 2 5 NA 1 9 5 3 2 0 0 0 0 0 0 0 0 1 10 "1 : Empresa" "Moderado" "Ninguna"
"12" 21 83 175 "1 : Masculino" 2 NA NA 1 5 7 5 7 1 0 0 0 0 0 0 0 0 2 "3 : Profesor (Instituto, primaria, etc.)" "Moderado" "Instagram"
"13" 21 68 164 "2 : Femenino" 2 42 NA 1 7 8 6 210 1 0 0 0 1 0 0 0 0 60 "1 : Empresa" "Moderado" "Instagram"
"14" 21 41 152 "2 : Femenino" 0 35 NA 1 5 7 2 180 1 0 0 0 0 0 0 0 0 90 "1 : Empresa" "Moderado" "Instagram"
"15" 22 NA 173 "2 : Femenino" 1 28 NA 1 7 7 6 300 0 1 0 0 0 0 0 0 0 90 "1 : Empresa" "Moderado" "Tiktok"
"16" 22 62 171 "1 : Masculino" 1 16 8.8 1 7 10 9 3 1 0 0 0 0 0 0 0 0 1 "1 : Empresa" "Moderado" "Instagram"
"17" 21 85 172 "1 : Masculino" 1 1 NA 1 5 5 6 180 1 1 0 0 0 0 0 0 0 120 "3 : Profesor (Instituto, primaria, etc.)" "Moderado" "Instagram"
"18" 21 70 170 "1 : Masculino" 3 10 NA 1 5 9 8 4 1 0 0 0 0 0 0 0 0 2 "1 : Empresa" "Moderado" "Instagram"
"19" 21 50 160 "1 : Masculino" 0 5 8.7 1 8 8.5 3 100 1 0 0 0 0 0 0 0 0 30 "5 : Otro" "Moderado" "Instagram"
"20" 21 70 180 "1 : Masculino" 1 1 8.05 1 9 10 7 90 0 0 0 0 0 0 0 0 1 0 "2 : Universidad" "Moderado" "Ninguna"
"21" 21 83 187 "1 : Masculino" 2 9 8 1 7 9 7 3 1 0 0 0 0 0 0 0 0 1 "1 : Empresa" "Mucho" "Instagram"
"22" 22 80 182 "1 : Masculino" 2 NA NA 1 7 7 5 120 1 0 0 0 0 0 0 0 0 45 "1 : Empresa" "Moderado" "Instagram"
"23" 21 70 184 "1 : Masculino" 2 11 NA 1 7 8 8 300 1 0 0 0 1 0 0 0 0 100 "2 : Universidad" "Moderado" "Instagram"
"24" 22 66 170 "1 : Masculino" 1 13.7 7.64 1 7 9 7 150 1 0 0 0 1 0 0 0 0 88 "1 : Empresa" "Moderado" "Instagram"
"25" 21 56 170 "1 : Masculino" 1 7 6 1 8 5 5 60 1 1 0 0 0 0 0 0 0 30 "" "Moderado" "Instagram"
"26" 22 60 180 "2 : Femenino" 0 35 7 1 6 6 5 120 0 0 0 0 0 0 0 1 0 75 "1 : Empresa" "Mucho" "Otra"
"27" 21 102 180 "1 : Masculino" 1 35 8.07 1 10 10 0 180 1 0 0 0 0 0 0 0 0 180 "1 : Empresa" "Moderado" "Instagram"
"28" 20 62 170 "1 : Masculino" 1 13 7.65 1 8 8 8 210 0 0 0 0 1 0 0 0 0 40 "1 : Empresa" "Mucho" "X"
"29" 21 75 179 "1 : Masculino" 1 5 8.74 1 9 10 8 180 1 0 0 0 0 0 0 0 0 90 "1 : Empresa" "Mucho" "Instagram"
"30" 20 54 168 "2 : Femenino" 2 NA NA 1 4 11 7 100 1 0 0 0 0 0 0 0 0 50 "1 : Empresa" "Poco" "Instagram"
"31" 21 57 158 "2 : Femenino" 1 0.8 7.73 1 9 10 8 210 0 0 0 0 0 0 0 1 0 30 "1 : Empresa" "Moderado" "Otra"
"32" 20 61 NA "2 : Femenino" 1 15 NA 1 8 7 7 180 0 1 0 0 0 0 0 0 0 70 "1 : Empresa" "Moderado" "Tiktok"
"33" 20 69 172 "1 : Masculino" 2 NA 8.76 1 10 10 8 60 0 0 0 0 0 0 0 1 0 45 "2 : Universidad" "Moderado" "Otra"
"34" 20 64 NA "2 : Femenino" 1 18 NA 1 6 9 6 120 0 1 0 0 0 0 0 0 0 45 "1 : Empresa" "Mucho" "Tiktok"
"35" 20 50 162 "2 : Femenino" 5 NA NA 0 NA 7 5 180 1 0 0 0 0 0 0 0 0 45 "1 : Empresa" "Moderado" "Instagram"
"36" 21 68 166 "2 : Femenino" 1 3.22 6.43 1 6 8 6 75 0 1 0 0 0 0 0 0 0 20 "3 : Profesor (Instituto, primaria, etc.)" "Poco" "Tiktok"
"37" 20 60 1.71 "2 : Femenino" 0 20 NA 1 7 8 7 180 1 1 0 1 0 0 0 0 0 30 "3 : Profesor (Instituto, primaria, etc.)" "Moderado" "Instagram"
"38" 20 70 179 "1 : Masculino" 1 4.5 7.23 1 5 8 8 120 0 0 0 0 0 0 0 1 0 60 "1 : Empresa" "Moderado" "Otra"
"39" 20 50 159 "2 : Femenino" 5 3 7.19 1 8 6 5 3 0 0 0 0 0 0 0 1 0 2 "3 : Profesor (Instituto, primaria, etc.)" "Moderado" "Otra"
"40" 20 75 193 "1 : Masculino" 1 20 8 1 9 8 9 100 0 0 0 0 0 0 0 0 1 100 "1 : Empresa" "Poco" "Ninguna"
"41" 19 74 173 "1 : Masculino" 2 20 6 1 7 5 7 200 1 0 0 0 0 0 0 0 0 60 "3 : Profesor (Instituto, primaria, etc.)" "Moderado" "Instagram"
"42" 20 65 180 "1 : Masculino" 0 50 7 1 6 8 8 120 1 0 0 0 0 0 0 0 0 45 "2 : Universidad" "Poco" "Instagram"
"43" 20 82 180 "1 : Masculino" 1 30 9.5 1 9 9 8 120 0 0 0 0 1 0 0 0 0 10 "1 : Empresa" "Mucho" "X"
"44" 21 60 172 "2 : Femenino" 2 NA NA 0 NA 8 6 180 0 1 0 0 0 0 0 0 0 100 "1 : Empresa" "Moderado" "Tiktok"
"45" 20 77 NA "1 : Masculino" 1 15 NA 1 NA 11 8 180 0 1 0 0 0 0 0 0 0 45 "" "Moderado" "Tiktok"
"46" 20 78 183 "1 : Masculino" 1 NA NA 0 NA 7 8 240 0 1 0 0 0 0 0 0 0 180 "1 : Empresa" "Moderado" "Tiktok"
"47" 20 55 171 "2 : Femenino" 1 16 7 1 6 7 9 120 1 0 0 0 0 0 0 0 0 45 "1 : Empresa" "Moderado" "Instagram"
"48" 20 47 NA "2 : Femenino" 1 NA NA 1 NA 5 4 260 0 1 0 0 1 0 0 0 0 180 "1 : Empresa" "Moderado" "Tiktok"
"49" 20 55 173 "1 : Masculino" 1 32 7 1 7 8 9 3 0 0 0 0 0 0 0 1 0 1 "2 : Universidad" "Moderado" "Otra"
